key,instanciation-or-update-moment,display-start,display-end,image,slogan,link
banner-13,2019/03/29 01:14,2019/03/29 01:15,2019/05/15 01:15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXqZUg6BJj5OGPtrQPp9oCbtZX-vMF9gMizQ&s,slogan13,https://www.wikipedia.com
banner-14,2019/03/29 23:58,2019/03/29 23:59,2019/05/15 01:16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd58judYx225Niz5uRBaJc1UJi4DFHjOZNJA&s,slogan14,https://www.wikipedia.com
banner-15,2019/08/17 22:08,2019/08/17 22:10,2019/08/25 22:15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFCeqcQln9TquiGb1k3eJnJqARaUr3umqXFw&s,slogan15,https://www.wikipedia.com
banner-16,2010/12/24 23:58,2010/12/24 23:59,2010/12/31 23:59,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9sy2uY07FIErlJ3n58xnuSv3Gzw1zctZv9g&s,slogan16,https://www.wikipedia.com
banner-17,2019/12/23 23:59,2019/01/24 00:00,2019/01/01 00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS653-EfXbCjwCFWnYxUcs3i9RwQCVcUS3j9g&s,slogan17,https://www.wikipedia.com
banner-18,2020/02/22 00:00,2020/02/22 00:01,2020/02/29 00:01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVTU89MIWSq3LP_chJmHwSTWGLHolHRbkPXw&s,slogan18,https://www.wikipedia.com
banner-19,2021/02/20 23:59,2021/02/21 00:00,2021/02/28 00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8wKIZSLLVMvyjKRDAYs_JdwKN6rDlhsrG0A&s,slogan19,https://www.wikipedia.com
banner-20,2019/03/22 01:09,2019/03/22 01:10,2019/03/29 01:15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPVQ-pZ-p6wDLuOfDag77HMLJkh8jdI0BplA&s,slogan20,https://www.wikipedia.com
banner-21,2019/05/01 00:00,2009/05/22 03:00,2025/05/10 03:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkBIy4nua2A6YJPNFdcLDXpuR7bU4NYH53sw&s,"Sigueme en linkedin, que es gratis",https://www.linkedin.com/in/daniel-galv%C3%A1n-cancio-1b7b37278/
banner-22,2019/05/01 00:01,2009/05/22 03:01,2025/05/10 03:01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS86qCF91ZzGaM4aBn4mkjaYW211fwV2kmDJw&s,"Sigueme en youtube, que es gratis",https://www.youtube.com/channel/UCU2yqDw0OjoZ67bJN7J4TqA
banner-23,2019/05/01 00:02,2009/05/22 03:02,2025/05/10 03:02,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDISJF2ZH9KHtiSUtbHnG_gyTjAx9k3uBtYw&s,"Sigueme en twitch, que es gratis",https://www.twitch.tv/megamagolas
banner-24,2019/05/01 00:03,2009/05/22 03:03,2025/05/10 03:03,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiB8giTN9Hj8QAEz4DVdCtqWbfnrKoZSo2nA&s,awesome-exmaple-w1xd-ژنە =?óü←,https://guthib.com/
banner-25,2019/05/01 00:04,2009/05/22 03:04,2025/05/10 03:04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0KO2TAZO3iLjnRhZFlueafwJBNjYtbSIpPw&s,cadenacon75caracteresaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,https://www.netflix.com/helloworld
banner-26,2019/05/01 00:05,2009/05/22 03:05,2025/05/10 03:05,https://images.ctfassets.net/hrltx12pl8hq/28ECAQiPJZ78hxatLTa7Ts/2f695d869736ae3b0de3e56ceaca3958/free-nature-images.jpg?fit=fill&w=1200&h=630,a,https://www.youtube.com/watch?v=ljF-jn7vZFE
banner-27,2019/05/01 00:06,2009/05/22 03:06,2025/05/10 03:06,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5qzlZkS-5bMgAtjk_klsAEQBZtDiZ-ULGUA&s,12412,https://www.wikipedia.com
banner-28,2019/05/01 00:07,2009/05/22 03:07,2025/05/10 03:07,https://letsenhance.io/static/8f5e523ee6b2479e26ecc91b9c25261e/1015f/MainAfter.jpg,yvrecgrxt,http://ev.us.es
